id: 1; word -> i; translate -> я; comments -> 
id: 2; word -> you; translate -> ты; comments -> 
id: 3; word -> they; translate -> они; comments -> 
id: 7; word -> he; translate -> он; comments -> 
id: 9; word -> she; translate -> она; comments -> 
id: 10; word -> it; translate -> оно; comments -> 
id: 11; word -> we; translate -> мы; comments -> 
id: 13; word -> fancies; translate -> причуды; comments -> 
id: 14; word -> cushion; translate -> диванная подушка; comments -> 
id: 19; word -> hate; translate -> ненавидеть; comments -> 
id: 20; word -> love; translate -> любить; comments -> 
